;;;;;;;;;;;;;;x,,,
UGR;Ugria;;;;;;;;;;;;;x;
UGR_ADJ;Ugrian;;;;;;;;;;;;;x;
ASK;Astrakhan;;;;;;;;;;;;;x;
ASK_ADJ;Astrakhani;;;;;;;;;;;;;x;
SRT;Saratov;;;;;;;;;;;;;x;
SRT_ADJ;Saratovian;;;;;;;;;;;;;x;
RYA;Ryazan;;;;;;;;;;;;;x;
RYA_ADJ;Ryazanian;;;;;;;;;;;;;x;
VLA;Valdimir;;;;;;;;;;;;;x;
VLA_ADJ;Valdimirian;;;;;;;;;;;;;x;
GAL;Galich;;;;;;;;;;;;;x;
GAL_ADJ;Galichian;;;;;;;;;;;;;x;
SPA;Andalusia;;;;;;;;;;;;;x;
SPA_ADJ;Andalusian;;;;;;;;;;;;;x;
POR;Asturias;;;;;;;;;;;;;x;
POR_ADJ;Asturian;;;;;;;;;;;;;x;
