;;;;;;;;;;;;;;x,,,
EVTNAME44303;Fairbanks the lone settlement;;;;;;;;;;;;;x;
EVTDESC44303;With the settlement of fairbanks has no connection to our territory. The people want to join the rest of alaska should we keep it under our control or unite it with the rest of alaska?;;;;;;;;;;;;;x;
EVTOPTA44303;Hand Fairbanks over.;;;;;;;;;;;;;x;
EVTOPTB44303;Keep Fairbanks Under our control.;;;;;;;;;;;;;x;
EVTNAME44304;Fairbanks join Alaska;;;;;;;;;;;;;x;
EVTDESC44304;Because of the remoteness of Fairbanks they have decided to join the rest of alaska where they have connections to.;;;;;;;;;;;;;x;
EVTOPTA44304;Welcome Fairbanks to the rest of Alaska.;;;;;;;;;;;;;x;
EVTNAME16501;A new age of the United Kingdom.;;;;;;;;;;;;;x;
EVTDESC16501;After the civil war and the abolition of slavery the United Kingdom has gone on a more democratic path. A new age of shining liberty stands infront of the United Kingdom and its subjects,;;;;;;;;;;;;;x;
EVTOPTA16501;A shining beacon in the World!;;;;;;;;;;;;;x;
EVTNAME16502;American Steel;;;;;;;;;;;;;x;
EVTDESC16502;The American Steel Corporation or Amesco is the largest steel maker in the world. Amesco owns most of the Steel factories in north America and is one of the largest companies on earth.;;;;;;;;;;;;;x;
EVTOPTA16502;A example of British Industry!;;;;;;;;;;;;;x;EVTNAME16502;American Steel;;;;;;;;;;;;;x;
EVTNAME16503;Slowing of Growth;;;;;;;;;;;;;x;
EVTDESC16503;The fast growth of the steel belt is coming to an end.;;;;;;;;;;;;;x;
EVTOPTA16503;The end of rapid growth.;;;;;;;;;;;;;x;
EVTNAME16505;Anglicised Texas;;;;;;;;;;;;;x;
EVTDESC16505;After the conquest of Texas many southern farmers have moved into Texas and now its hard to diffrentiate what used to be Mexican Texas to Arkansas.;;;;;;;;;;;;;x;
EVTOPTA16505;A Texan is as British as a Georgian!;;;;;;;;;;;;;x;
EVTNAME16507;Anglicised California;;;;;;;;;;;;;x;
EVTDESC16507;After the conquest of California many southern farmers have moved into California and now its hard to diffrentiate what used to be Mexican Texas to Arkansas.;;;;;;;;;;;;;x;
EVTOPTA16507;A Californian is as British as a Georgian!;;;;;;;;;;;;;x;
EVTNAME16508;Mormon Flight;;;;;;;;;;;;;x;
EVTDESC16508;After the conquest of Utah us mormons have a new place to call home!;;;;;;;;;;;;;x;
EVTOPTA16508;A birth of a Nation!;;;;;;;;;;;;;x;
