;;;;;;;;;;;;;;x,,,
antillean;Antillean;;;;;;;;;;;;;x;
anglo_american;Anglo American;;;;;;;;;;;;;x;
yankee;Mormon;Mormon;Mormon;;Mormon;;;;;;;;;x;;;;
italian;Italian;;;;;;;;;;;;;x;;;;
german;German;;;;;;;;;;;;;x;;;;
swedish;Scandinavian;;;;;;;;;;;;;x;;;;
steel_belt;The Steel Belt;;;;;;;;;;;;;x;
reconstruction;Reconstruction;;;;;;;;;;;;;x;
baby_explosion;Baby Explosion;;;;;;;;;;;;;x;
baby_boom_eng;Baby Boom;;;;;;;;;;;;;x;
the_bonnie_blue_flag_2;Mobilize the South!;;;;;;;;;;;;;x;
vlach;Vlach;;;;;;;;;;;;;x;
building_of_minneapolis;Building of Minneapolis;;;;;;;;;;;;;x;
building_of_milwaukee;Building of Milwaukee;;;;;;;;;;;;;x;
building_of_chicago;Building of Chicago;;;;;;;;;;;;;x;
building_of_detroit;Building of Detroit;;;;;;;;;;;;;x;
building_of_ottawa;Building of Ottawa;;;;;;;;;;;;;x;
frontline_artillery_tactics;Frontline Artillery Tactics;;;;;;;;;;;;;x;
frontline_artillery_tactics_desc;Putting the Artillery close to the frontline allows us to hit the enemy rear and disrupt thier supplies.;;;;;;;;;;;;;x;
recent_political_reform;Recent Political Reform;;;;;;;;;;;;;x;
advanced_rubber;Advanced Rubber Production;;;;;;;;;;;;;x;
advanced_rubber_desc;Advanced Rubber Production;;;;;;;;;;;;;x;
advanced_coke;Advanced Coke Production;;;;;;;;;;;;;x;
advanced_coke_desc;Advanced Coke Production;;;;;;;;;;;;;x;
polychloroprene;Polychloroprene;;;;;;;;;;;;;x;
polychloroprene_desc;Rubber Vulcanization of polychloroprene;;;;;;;;;;;;;x;
vulcanization_of_silicones;Vulcanization of Silicones;;;;;;;;;;;;;x;
vulcanization_of_silicones_desc;Vulcanizing rubber with silicones.;;;;;;;;;;;;;x;
synthetic_rubber;Synthetic Rubber;;;;;;;;;;;;;x;
synthetic_rubber_desc;Synthetic Rubber are polymers synthesized from petroleum byproducts.;;;;;;;;;;;;;x;
synthetic_rubber_factory;Synthetic Rubber Factory;;;;;;;;;;;;;x;
synthetic_rubber_factory_desc;In this factory petroleum byproducts are polymerized into rubber.;;;;;;;;;;;;;x;
oil_rush;Oil Rush!;;;;;;;;;;;;;x;
the_heart_of_darkness;The Heart of Darkness;;;;;;;;;;;;;x;
the_heart_of_darkness_desc;With new technological advancements the exploitation of africa can really begin!;;;;;;;;;;;;;x;
become_independent_2;Become Independent;Devenir indépendant;Werdet unabhängig;;;;;;;;;;;x
become_independent_2_short;$ACTOR$ is released from $RECIPIENT$;$ACTOR$ est libéré de $RECIPIENT$;$ACTOR$ wird von $RECIPIENT$ befreit;;;;;;;;;;;x
become_independent_2_setup;$ACTOR$ is released from $RECIPIENT$ and becomes independent.;$ACTOR$ est libéré de $RECIPIENT$ et devient indépendant.;$ACTOR$ wird von $RECIPIENT$ befreit und wird unabhängig. ;;;;;;;;;;;x
